Days to Ship Actual,Sales Forecast,Ship Status,Days to Ship Scheduled,Sales per Customer,Profit Ratio,Category,City,Country,Customer Name,Discount,Number of Records,Order Date,Order ID,Postal Code,Product Name,Profit,Quantity,Region,Profit per Order,Sales,Segment,Ship Date,Ship Mode,State,Sub-Category
4,$90,Shipped Early,6,$60.34,26.00%,Office Supplies,Fremont,United States,Ken Black,0.00%,1,09-12-2016,CA-2016-137330,68025,"Acco Six-Outlet Power Strip, 4' Cord Length",$16,7,Central,$15.69,$60,Corporate,13-12-2016,Standard Class,Nebraska,Appliances
2,$107,Shipped Early,3,$71.37,-1.40%,Furniture,Philadelphia,United States,Sandra Flanagan,30.00%,1,16-07-2017,US-2017-156909,19140,"Global Deluxe Stacking Chair, Gray",($1),2,East,$-1.02,$71,Consumer,18-07-2017,Second Class,Pennsylvania,Chairs
5,"$1,564",Shipped Early,6,"$1,044.63",23.00%,Furniture,Orem,United States,Emily Burns,0.00%,1,25-09-2015,CA-2015-106320,84057,Bretford CR4500 Series Slim Rectangular Table,$240,3,West,$240.26,"$1,045",Consumer,30-09-2015,Standard Class,Utah,Tables
4,$17,Shipped Late,3,$11.65,36.30%,Office Supplies,Los Angeles,United States,Eric Hoffmann,20.00%,1,16-01-2016,CA-2016-121755,90049,Wilson Jones Active Use Binders,$4,2,West,$4.22,$12,Consumer,20-01-2016,Second Class,California,Binders
4,$136,Shipped Late,3,$90.57,13.00%,Technology,Los Angeles,United States,Eric Hoffmann,0.00%,1,16-01-2016,CA-2016-121755,90049,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,$12,3,West,$11.77,$91,Consumer,20-01-2016,Second Class,California,Accessories
4,"$4,618",Shipped Early,6,"$3,083.43",-54.00%,Furniture,Philadelphia,United States,Tracy Blumstein,50.00%,1,17-09-2015,US-2015-150630,19140,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","($1,665)",7,East,"$-1,665.05","$3,083",Consumer,21-09-2015,Standard Class,Pennsylvania,Bookcases
4,$14,Shipped Early,6,$9.62,-73.30%,Office Supplies,Philadelphia,United States,Tracy Blumstein,70.00%,1,17-09-2015,US-2015-150630,19140,Avery Recycled Flexi-View Covers for Binding Systems,($7),2,East,$-7.05,$10,Consumer,21-09-2015,Standard Class,Pennsylvania,Binders
4,$186,Shipped Early,6,$124.20,12.50%,Furniture,Philadelphia,United States,Tracy Blumstein,20.00%,1,17-09-2015,US-2015-150630,19140,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",$16,3,East,$15.52,$124,Consumer,21-09-2015,Standard Class,Pennsylvania,Furnishings
4,$5,Shipped Early,6,$3.26,33.80%,Office Supplies,Philadelphia,United States,Tracy Blumstein,20.00%,1,17-09-2015,US-2015-150630,19140,Poly String Tie Envelopes,$1,2,East,$1.10,$3,Consumer,21-09-2015,Standard Class,Pennsylvania,Envelopes
4,$129,Shipped Early,6,$86.30,11.30%,Office Supplies,Philadelphia,United States,Tracy Blumstein,20.00%,1,17-09-2015,US-2015-150630,19140,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",$10,6,East,$9.71,$86,Consumer,21-09-2015,Standard Class,Pennsylvania,Art
4,$10,Shipped Early,6,$6.86,-83.30%,Office Supplies,Philadelphia,United States,Tracy Blumstein,70.00%,1,17-09-2015,US-2015-150630,19140,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",($6),6,East,$-5.71,$7,Consumer,21-09-2015,Standard Class,Pennsylvania,Binders
4,$24,Shipped Early,6,$15.76,22.50%,Office Supplies,Philadelphia,United States,Tracy Blumstein,20.00%,1,17-09-2015,US-2015-150630,19140,Lumber Crayons,$4,2,East,$3.55,$16,Consumer,21-09-2015,Standard Class,Pennsylvania,Art
4,$44,Shipped Late,3,$29.47,33.80%,Office Supplies,Houston,United States,Matt Abelman,20.00%,1,19-10-2017,CA-2017-107727,77095,Easy-staple paper,$10,3,Central,$9.95,$29,Home Office,23-10-2017,Second Class,Texas,Paper
2,"$1,644",Shipped Late,1,"$1,097.54",11.30%,Technology,Richardson,United States,Gene Hale,20.00%,1,08-12-2016,CA-2016-117590,75080,GE 30524EE4,$123,7,Central,$123.47,"$1,098",Corporate,10-12-2016,First Class,Texas,Phones
2,$286,Shipped Late,1,$190.92,-77.50%,Furniture,Richardson,United States,Gene Hale,60.00%,1,08-12-2016,CA-2016-117590,75080,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",($148),5,Central,$-147.96,$191,Corporate,10-12-2016,First Class,Texas,Furnishings
4,$170,Shipped Early,6,$113.33,31.30%,Office Supplies,Houston,United States,Steve Nguyen,20.00%,1,27-12-2015,CA-2015-117415,77041,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",$35,9,Central,$35.41,$113,Home Office,31-12-2015,Standard Class,Texas,Envelopes
4,$797,Shipped Early,6,$532.40,-8.80%,Furniture,Houston,United States,Steve Nguyen,32.00%,1,27-12-2015,CA-2015-117415,77041,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",($47),3,Central,$-46.98,$532,Home Office,31-12-2015,Standard Class,Texas,Bookcases
4,$318,Shipped Early,6,$212.06,-7.10%,Furniture,Houston,United States,Steve Nguyen,30.00%,1,27-12-2015,CA-2015-117415,77041,"Global Fabric Manager's Chair, Dark Gray",($15),3,Central,$-15.15,$212,Home Office,31-12-2015,Standard Class,Texas,Chairs
4,$556,Shipped Early,6,$371.17,11.30%,Technology,Houston,United States,Steve Nguyen,20.00%,1,27-12-2015,CA-2015-117415,77041,Plantronics HL10 Handset Lifter,$42,4,Central,$41.76,$371,Home Office,31-12-2015,Standard Class,Texas,Phones
5,$220,Shipped Early,6,$147.17,11.30%,Technology,Naperville,United States,Linda Cazamias,20.00%,1,10-09-2017,CA-2017-120999,60540,Panasonic Kx-TS550,$17,4,Central,$16.56,$147,Corporate,15-09-2017,Standard Class,Illinois,Phones
5,$117,Shipped Early,6,$77.88,5.00%,Office Supplies,Los Angeles,United States,Ruben Ausman,0.00%,1,17-07-2016,CA-2016-101343,90049,"Eldon Base for stackable storage shelf, platinum",$4,2,West,$3.89,$78,Corporate,22-07-2016,Standard Class,California,Storage
4,$143,Shipped Early,6,$95.62,10.00%,Office Supplies,Melbourne,United States,Erin Smith,20.00%,1,19-09-2017,CA-2017-139619,32935,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",$10,2,South,$9.56,$96,Corporate,23-09-2017,Standard Class,Florida,Storage
2,$69,Shipped Late,1,$45.98,43.00%,Technology,Eagan,United States,Odella Nelson,0.00%,1,11-03-2016,CA-2016-118255,55122,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",$20,2,Central,$19.77,$46,Corporate,13-03-2016,First Class,Minnesota,Accessories
2,$26,Shipped Late,1,$17.46,47.00%,Office Supplies,Eagan,United States,Odella Nelson,0.00%,1,11-03-2016,CA-2016-118255,55122,Wilson Jones Leather-Like Binders with DublLock Round Rings,$8,2,Central,$8.21,$17,Corporate,13-03-2016,First Class,Minnesota,Binders
5,$317,Shipped Late,3,$211.96,4.00%,Office Supplies,Westland,United States,Patrick O'Donnell,0.00%,1,20-10-2014,CA-2014-146703,48185,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",$8,4,Central,$8.48,$212,Consumer,25-10-2014,Second Class,Michigan,Storage
5,$67,Shipped Early,6,$45.00,11.00%,Technology,Dover,United States,Lena Hernandez,0.00%,1,20-06-2016,CA-2016-169194,19901,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,$5,3,East,$4.95,$45,Consumer,25-06-2016,Standard Class,Delaware,Accessories
5,$33,Shipped Early,6,$21.80,28.00%,Technology,Dover,United States,Lena Hernandez,0.00%,1,20-06-2016,CA-2016-169194,19901,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",$6,2,East,$6.10,$22,Consumer,25-06-2016,Standard Class,Delaware,Phones
4,$57,Shipped Early,6,$38.22,47.00%,Office Supplies,New Albany,United States,Darren Powers,0.00%,1,18-04-2015,CA-2015-115742,47150,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",$18,6,Central,$17.96,$38,Consumer,22-04-2015,Standard Class,Indiana,Binders
4,$113,Shipped Early,6,$75.18,47.00%,Office Supplies,New Albany,United States,Darren Powers,0.00%,1,18-04-2015,CA-2015-115742,47150,Avery 485,$35,6,Central,$35.33,$75,Consumer,22-04-2015,Standard Class,Indiana,Labels
4,$9,Shipped Early,6,$6.16,48.00%,Furniture,New Albany,United States,Darren Powers,0.00%,1,18-04-2015,CA-2015-115742,47150,Longer-Life Soft White Bulbs,$3,2,Central,$2.96,$6,Consumer,22-04-2015,Standard Class,Indiana,Furnishings
4,$135,Shipped Early,6,$89.99,19.00%,Furniture,New Albany,United States,Darren Powers,0.00%,1,18-04-2015,CA-2015-115742,47150,"Global Leather Task Chair, Black",$17,1,Central,$17.10,$90,Consumer,22-04-2015,Standard Class,Indiana,Chairs
6,$23,Shipped On Time,6,$15.26,41.00%,Office Supplies,New York City,United States,Janet Molinari,0.00%,1,11-12-2016,CA-2016-105816,10024,Advantus Push Pins,$6,7,East,$6.26,$15,Corporate,17-12-2016,Standard Class,New York,Fasteners
6,"$1,542",Shipped On Time,6,"$1,029.95",29.00%,Technology,New York City,United States,Janet Molinari,0.00%,1,11-12-2016,CA-2016-105816,10024,AT&T CL83451 4-Handset Telephone,$299,5,East,$298.69,"$1,030",Corporate,17-12-2016,Standard Class,New York,Phones
1,$312,Shipped On Time,1,$208.56,25.00%,Office Supplies,Troy,United States,Ted Butterfield,0.00%,1,17-06-2016,CA-2016-111682,12180,Home/Office Personal File Carts,$52,6,East,$52.14,$209,Consumer,18-06-2016,First Class,New York,Storage
1,$49,Shipped On Time,1,$32.40,48.00%,Office Supplies,Troy,United States,Ted Butterfield,0.00%,1,17-06-2016,CA-2016-111682,12180,Xerox 232,$16,5,East,$15.55,$32,Consumer,18-06-2016,First Class,New York,Paper
1,$478,Shipped On Time,1,$319.41,2.20%,Furniture,Troy,United States,Ted Butterfield,10.00%,1,17-06-2016,CA-2016-111682,12180,Novimex Turbo Task Chair,$7,5,East,$7.10,$319,Consumer,18-06-2016,First Class,New York,Chairs
1,$22,Shipped On Time,1,$14.56,48.00%,Office Supplies,Troy,United States,Ted Butterfield,0.00%,1,17-06-2016,CA-2016-111682,12180,"Array Parchment Paper, Assorted Colors",$7,2,East,$6.99,$15,Consumer,18-06-2016,First Class,New York,Paper
1,$45,Shipped On Time,1,$30.00,11.00%,Technology,Troy,United States,Ted Butterfield,0.00%,1,17-06-2016,CA-2016-111682,12180,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,$3,2,East,$3.30,$30,Consumer,18-06-2016,First Class,New York,Accessories
1,$73,Shipped On Time,1,$48.48,33.80%,Office Supplies,Troy,United States,Ted Butterfield,20.00%,1,17-06-2016,CA-2016-111682,12180,Plastic Binding Combs,$16,4,East,$16.36,$48,Consumer,18-06-2016,First Class,New York,Binders
1,$3,Shipped On Time,1,$1.68,50.00%,Office Supplies,Troy,United States,Ted Butterfield,0.00%,1,17-06-2016,CA-2016-111682,12180,Prang Dustless Chalk Sticks,$1,1,East,$0.84,$2,Consumer,18-06-2016,First Class,New York,Art
6,$21,Shipped On Time,6,$13.98,44.00%,Technology,Los Angeles,United States,Kunst Miller,0.00%,1,24-11-2015,CA-2015-135545,90004,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",$6,2,West,$6.15,$14,Consumer,30-11-2015,Standard Class,California,Accessories
6,$39,Shipped On Time,6,$25.82,36.30%,Office Supplies,Los Angeles,United States,Kunst Miller,20.00%,1,24-11-2015,CA-2015-135545,90004,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",$9,6,West,$9.36,$26,Consumer,30-11-2015,Standard Class,California,Binders
6,$220,Shipped On Time,6,$146.73,47.00%,Office Supplies,Los Angeles,United States,Kunst Miller,0.00%,1,24-11-2015,CA-2015-135545,90004,Xerox 1943,$69,3,West,$68.96,$147,Consumer,30-11-2015,Standard Class,California,Paper
6,$119,Shipped On Time,6,$79.76,28.00%,Furniture,Los Angeles,United States,Kunst Miller,0.00%,1,24-11-2015,CA-2015-135545,90004,Luxo Economy Swing Arm Lamp,$22,4,West,$22.33,$80,Consumer,30-11-2015,Standard Class,California,Furnishings
5,$319,Shipped Early,6,$213.11,-7.10%,Furniture,Chicago,United States,Paul Stevenson,30.00%,1,30-04-2015,US-2015-164175,60610,"Global Value Mid-Back Manager's Chair, Gray",($15),5,Central,$-15.22,$213,Home Office,05-05-2015,Standard Class,Illinois,Chairs
5,"$1,667",Shipped Early,6,"$1,113.02",10.00%,Office Supplies,Gilbert,United States,Brendan Sweed,20.00%,1,05-12-2014,CA-2014-106376,85234,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",$111,8,West,$111.30,"$1,113",Corporate,10-12-2014,Standard Class,Arizona,Art
5,$252,Shipped Early,6,$167.97,37.50%,Technology,Gilbert,United States,Brendan Sweed,20.00%,1,05-12-2014,CA-2014-106376,85234,netTALK DUO VoIP Telephone Service,$63,4,West,$62.99,$168,Corporate,10-12-2014,Standard Class,Arizona,Phones
2,$114,Shipped Late,1,$75.88,47.00%,Office Supplies,Springfield,United States,Karen Daniels,0.00%,1,04-06-2016,CA-2016-119823,22153,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",$36,2,South,$35.66,$76,Consumer,06-06-2016,First Class,Virginia,Paper
5,$7,Shipped Early,6,$4.62,37.50%,Office Supplies,New York City,United States,Henry MacAllister,20.00%,1,18-09-2016,CA-2016-106075,10009,Avery Binding System Hidden Tab Executive Style Index Sets,$2,1,East,$1.73,$5,Consumer,23-09-2016,Standard Class,New York,Binders
3,$29,Shipped On Time,3,$19.05,46.00%,Office Supplies,Jackson,United States,Tracy Blumstein,0.00%,1,14-09-2017,CA-2017-114440,49201,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",$9,3,Central,$8.76,$19,Consumer,17-09-2017,Second Class,Michigan,Paper
6,"$1,246",Shipped On Time,6,$831.94,-13.80%,Furniture,Memphis,United States,Joel Eaton,20.00%,1,26-04-2015,US-2015-134026,38109,High-Back Leather Manager's Chair,($114),8,South,$-114.39,$832,Consumer,02-05-2015,Standard Class,Tennessee,Chairs
6,$145,Shipped On Time,6,$97.04,1.30%,Furniture,Memphis,United States,Joel Eaton,20.00%,1,26-04-2015,US-2015-134026,38109,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",$1,2,South,$1.21,$97,Consumer,02-05-2015,Standard Class,Tennessee,Furnishings
6,$109,Shipped On Time,6,$72.78,-25.00%,Office Supplies,Memphis,United States,Joel Eaton,20.00%,1,26-04-2015,US-2015-134026,38109,Safco Industrial Wire Shelving System,($18),1,South,$-18.20,$73,Consumer,02-05-2015,Standard Class,Tennessee,Storage
2,$2,Shipped Late,1,$1.25,-155.00%,Office Supplies,Houston,United States,Ken Brennan,80.00%,1,09-12-2017,US-2017-118038,77041,Economy Binders,($2),3,Central,$-1.93,$1,Corporate,11-12-2017,First Class,Texas,Binders
2,$15,Shipped Late,1,$9.71,-60.00%,Furniture,Houston,United States,Ken Brennan,60.00%,1,09-12-2017,US-2017-118038,77041,"6"" Cubicle Wall Clock, Black",($6),3,Central,$-5.82,$10,Corporate,11-12-2017,First Class,Texas,Furnishings
2,$41,Shipped Late,1,$27.24,10.00%,Office Supplies,Houston,United States,Ken Brennan,20.00%,1,09-12-2017,US-2017-118038,77041,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",$3,3,Central,$2.72,$27,Corporate,11-12-2017,First Class,Texas,Storage
5,$29,Shipped Late,3,$19.30,-75.00%,Furniture,Houston,United States,Joel Eaton,60.00%,1,26-11-2014,US-2014-147606,77070,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",($14),5,Central,$-14.48,$19,Consumer,01-12-2014,Second Class,Texas,Furnishings
3,$312,Shipped Late,1,$208.16,27.00%,Office Supplies,Decatur,United States,Stewart Carmichael,0.00%,1,12-06-2016,CA-2016-127208,35601,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",$56,1,South,$56.20,$208,Corporate,15-06-2016,First Class,Alabama,Appliances
3,$25,Shipped Late,1,$16.74,48.00%,Office Supplies,Decatur,United States,Stewart Carmichael,0.00%,1,12-06-2016,CA-2016-127208,35601,Avery Heavy-Duty EZD  Binder With Locking Rings,$8,3,South,$8.04,$17,Corporate,15-06-2016,First Class,Alabama,Binders
4,$22,Shipped Early,6,$14.90,28.00%,Office Supplies,San Francisco,United States,Duane Noonan,0.00%,1,12-10-2014,CA-2014-139451,94122,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",$4,5,West,$4.17,$15,Consumer,16-10-2014,Standard Class,California,Art
4,$32,Shipped Early,6,$21.39,29.00%,Office Supplies,San Francisco,United States,Duane Noonan,0.00%,1,12-10-2014,CA-2014-139451,94122,"Sortfiler Multipurpose Personal File Organizer, Black",$6,1,West,$6.20,$21,Consumer,16-10-2014,Standard Class,California,Storage
5,$301,Shipped Early,6,$200.98,31.30%,Office Supplies,Durham,United States,Julie Creighton,20.00%,1,03-09-2015,CA-2015-149734,27707,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,$63,7,South,$62.81,$201,Corporate,08-09-2015,Standard Class,North Carolina,Envelopes
3,$345,Shipped Late,1,$230.38,-21.30%,Office Supplies,Chicago,United States,Christopher Schild,20.00%,1,13-11-2017,US-2017-119662,60623,Safco Industrial Wire Shelving,($49),3,Central,$-48.95,$230,Home Office,16-11-2017,First Class,Illinois,Storage
2,$452,Shipped Early,3,$301.96,11.00%,Furniture,Columbia,United States,Patrick O'Donnell,0.00%,1,28-05-2017,CA-2017-140088,29203,Novimex Swivel Fabric Task Chair,$33,2,South,$33.22,$302,Consumer,30-05-2017,Second Class,South Carolina,Chairs
7,$30,Shipped Late,6,$19.99,34.00%,Technology,Rochester,United States,Paul Gonzalez,0.00%,1,26-10-2017,CA-2017-155558,55901,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,$7,1,Central,$6.80,$20,Consumer,02-11-2017,Standard Class,Minnesota,Accessories
7,$9,Shipped Late,6,$6.16,48.00%,Office Supplies,Rochester,United States,Paul Gonzalez,0.00%,1,26-10-2017,CA-2017-155558,55901,Avery 511,$3,2,Central,$2.96,$6,Consumer,02-11-2017,Standard Class,Minnesota,Labels
5,$237,Shipped Late,3,$158.37,8.80%,Office Supplies,Houston,United States,Gary Mitchum,20.00%,1,05-04-2016,CA-2016-159695,77095,Eldon Portable Mobile Manager,$14,7,Central,$13.86,$158,Home Office,10-04-2016,Second Class,Texas,Storage
5,$30,Shipped Early,6,$20.10,33.00%,Office Supplies,Los Angeles,United States,Jim Sink,0.00%,1,17-09-2016,CA-2016-109806,90036,Turquoise Lead Holder with Pocket Clip,$7,3,West,$6.63,$20,Corporate,22-09-2016,Standard Class,California,Art
5,$110,Shipped Early,6,$73.58,11.30%,Technology,Los Angeles,United States,Jim Sink,20.00%,1,17-09-2016,CA-2016-109806,90036,Panasonic Kx-TS550,$8,2,West,$8.28,$74,Corporate,22-09-2016,Standard Class,California,Phones
5,$10,Shipped Early,6,$6.48,48.00%,Office Supplies,Los Angeles,United States,Jim Sink,0.00%,1,17-09-2016,CA-2016-109806,90036,Xerox 1995,$3,1,West,$3.11,$6,Corporate,22-09-2016,Standard Class,California,Paper
5,$19,Shipped Late,3,$12.96,48.00%,Office Supplies,Minneapolis,United States,Karl Braun,0.00%,1,31-01-2015,CA-2015-149587,55407,Xerox 1999,$6,2,Central,$6.22,$13,Consumer,05-02-2015,Second Class,Minnesota,Paper
5,$80,Shipped Late,3,$53.34,31.00%,Furniture,Minneapolis,United States,Karl Braun,0.00%,1,31-01-2015,CA-2015-149587,55407,"Seth Thomas 13 1/2"" Wall Clock",$17,3,Central,$16.54,$53,Consumer,05-02-2015,Second Class,Minnesota,Furnishings
5,$49,Shipped Late,3,$32.96,49.00%,Office Supplies,Minneapolis,United States,Karl Braun,0.00%,1,31-01-2015,CA-2015-149587,55407,Ibico Standard Transparent Covers,$16,2,Central,$16.15,$33,Consumer,05-02-2015,Second Class,Minnesota,Binders
6,$9,Shipped On Time,6,$5.68,-66.70%,Office Supplies,Portland,United States,Roger Barcio,70.00%,1,06-11-2017,US-2017-109484,97206,Flexible Leather- Look Classic Collection Ring Binder,($4),1,West,$-3.79,$6,Home Office,12-11-2017,Standard Class,Oregon,Binders
2,$145,Shipped Early,3,$96.53,42.00%,Furniture,New York City,United States,Parhena Norris,0.00%,1,09-11-2017,CA-2017-161018,10009,9-3/4 Diameter Round Wall Clock,$41,7,East,$40.54,$97,Home Office,11-11-2017,Second Class,New York,Furnishings
3,$77,Shipped Late,1,$51.31,35.00%,Office Supplies,San Francisco,United States,Katherine Ducich,20.00%,1,17-06-2017,CA-2017-157833,94122,Trimflex Flexible Post Binders,$18,3,West,$17.96,$51,Consumer,20-06-2017,First Class,California,Binders
